2019-02-26 18:04:39 info:  6550: user disconnected, ID DACkZpZCb4KVQfblAAAB
2019-02-26 18:04:48 info:  8550: Chain Living at URL http://localhost:8550
2019-02-26 18:04:48 info:  8550: Socket connected, ID 0uI_km1BBVxDHsyCAAAA
2019-02-26 18:04:48 info:  9550: Chain Living at URL http://localhost:9550
2019-02-26 18:04:48 info:  7550: Chain Living at URL http://localhost:7550
2019-02-26 18:04:48 info:  9550: Socket connected, ID dVFiZDxLfmy27BLbAAAA
2019-02-26 18:04:48 info:  7550: Socket connected, ID Fa8Yw8dwEWva9-5hAAAA
2019-02-26 18:04:52 info:  7550: Socket connected, ID hr_DVd3B8WDmDeHTAAAB
2019-02-26 18:35:11 info:  9550: Chain Living at URL http://localhost:9550
2019-02-26 18:35:11 info:  9550: Socket connected, ID sqWpD9OfJqVxRjm2AAAA
2019-02-26 18:35:12 info:  8550: Chain Living at URL http://localhost:8550
2019-02-26 18:35:12 info:  8550: Socket connected, ID HcGEbd_9kLuCsGh5AAAA
2019-02-26 18:35:12 info:  7550: Chain Living at URL http://localhost:7550
2019-02-26 18:35:12 info:  7550: Socket connected, ID 8V5RyzO43YCMi1ejAAAA
2019-02-26 18:35:16 info:  7550: Socket connected, ID TfbRj93kortZzKAnAAAB
2019-02-26 18:35:49 info:  9550: Chain Living at URL http://localhost:9550
2019-02-26 18:35:49 info:  9550: Socket connected, ID Poy6T20zMTadHSe3AAAA
2019-02-26 18:35:49 info:  7550: Chain Living at URL http://localhost:7550
2019-02-26 18:35:49 info:  8550: Chain Living at URL http://localhost:8550
2019-02-26 18:35:49 info:  8550: Socket connected, ID hypltGbnllWZ0HhNAAAA
2019-02-26 18:35:49 info:  7550: Socket connected, ID -uhBiMMqwJxDojjZAAAA
2019-02-26 18:35:50 info:  7550: Socket connected, ID Rw8UYAdemaQNyPDfAAAB
2019-02-26 19:01:51 info:  7550: user disconnected, ID Rw8UYAdemaQNyPDfAAAB
2019-02-26 19:02:05 info:  6550: Chain Living at URL http://localhost:6550
2019-02-26 19:02:05 info:  6550: Socket connected, ID Ru8-hR96uK5agsqHAAAA
2019-02-26 19:02:57 info:  6550: http://localhost:7550 successfully added
2019-02-26 19:02:58 info:  7550: Socket connected, ID 4y7-mzV2hXaJVSDnAAAC
2019-02-26 19:02:58 info:  7550: http://localhost:6550 successfully added
2019-02-26 19:02:58 info:  6550: Socket connected, ID 2Qxk0zDhsjwnTfdTAAAB
2019-02-26 19:03:19 info:  9550: http://localhost:7550 successfully added
2019-02-26 19:03:20 info:  7550: Socket connected, ID lXEiyaKye05h_r_3AAAD
2019-02-26 19:03:20 info:  6550: Added new peer localhost:9550
2019-02-26 19:03:20 info:  7550: http://localhost:9550 successfully added
2019-02-26 19:03:20 info:  6550: http://localhost:9550 successfully added
2019-02-26 19:03:20 info:  9550: Socket connected, ID kn59xhMDhs87TAoJAAAB
2019-02-26 19:03:20 info:  9550: Socket connected, ID fmDqK1TKGVeXVY9VAAAC
2019-02-26 19:03:20 info:  9550: http://localhost:6550 successfully added
2019-02-26 19:03:25 info:  6550: Socket connected, ID 8NDXIoQOoeXvLN6qAAAC
2019-02-26 19:03:50 info:  6550: Free Coin sent to 0x957E0F8Cde6B8D85260e9a631Ca282951e2a7Ef2
2019-02-26 19:03:50 info:  6550: Signed GiveAway Transaction Coins: 10
2019-02-26 19:03:50 info:  6550: Transaction Id b4b6ae48d4db84c6304c15b29227212e signature 0x001F7623Ca46D305dD2bf52c0358f27090b39f33 validated
2019-02-26 19:03:50 info:  9550: Transaction Id b4b6ae48d4db84c6304c15b29227212e signature 0x001F7623Ca46D305dD2bf52c0358f27090b39f33 validated
2019-02-26 19:03:50 info:  7550: Transaction Id b4b6ae48d4db84c6304c15b29227212e signature 0x001F7623Ca46D305dD2bf52c0358f27090b39f33 validated
2019-02-26 19:03:57 info:  7550: Free Coin sent to 0x957E0F8Cde6B8D85260e9a631Ca282951e2a7Ef2
2019-02-26 19:03:57 info:  7550: Signed GiveAway Transaction Coins: 10
2019-02-26 19:03:57 info:  9550: Starting mining block...
2019-02-26 19:03:57 info:  6550: Starting mining block...
2019-02-26 19:03:57 info:  6550: Transaction Id ed6393c98dcfe952a417e081752692c7 signature 0x564D5149Ba925231E0F7fe89B7D31Ac41829eb68 validated
2019-02-26 19:03:57 info:  7550: Starting mining block...
2019-02-26 19:03:58 info:  7550: Transaction Id ed6393c98dcfe952a417e081752692c7 signature 0x564D5149Ba925231E0F7fe89B7D31Ac41829eb68 validated
2019-02-26 19:03:58 info:  9550: Transaction Id ed6393c98dcfe952a417e081752692c7 signature 0x564D5149Ba925231E0F7fe89B7D31Ac41829eb68 validated
2019-02-26 19:04:02 info:  7550: Puzzle solved with Proof4462855358.802267 and 0000a64b743456b0ff048c0fe0dbdd7a0b821484d90ec60c661748e51e7f39e0
2019-02-26 19:04:02 info:  7550: Mined Successfully
2019-02-26 19:04:02 info:  7550: End mining encountered
2019-02-26 19:04:02 info:  9550: End mining encountered
2019-02-26 19:04:02 info:  6550: End mining encountered
2019-02-26 19:04:03 info:  7550: New Block added[object Object]
2019-02-26 19:04:03 info:  9550: New Block added[object Object]
2019-02-26 19:04:03 info:  9550: Puzzle solved with Proof5719734787.1687155 and undefined
2019-02-26 19:04:03 info:  6550: New Block added[object Object]
2019-02-26 19:04:03 info:  6550: Puzzle solved with Proof6413142312.367404 and undefined
2019-02-26 19:04:28 info:  9550: Free Coin sent to 0x957E0F8Cde6B8D85260e9a631Ca282951e2a7Ef2
2019-02-26 19:04:29 info:  6550: Transaction Id 131441af0cd4740536c9d6e3ea57b075 signature 0x564D5149Ba925231E0F7fe89B7D31Ac41829eb68 validated
2019-02-26 19:04:29 info:  7550: Transaction Id 131441af0cd4740536c9d6e3ea57b075 signature 0x564D5149Ba925231E0F7fe89B7D31Ac41829eb68 validated
2019-02-26 19:04:28 info:  9550: Signed GiveAway Transaction Coins: 10
2019-02-26 19:04:29 info:  9550: Transaction Id 131441af0cd4740536c9d6e3ea57b075 signature 0x564D5149Ba925231E0F7fe89B7D31Ac41829eb68 validated
2019-02-26 19:04:45 info:  6550: Free Coin sent to 0x957E0F8Cde6B8D85260e9a631Ca282951e2a7Ef2
2019-02-26 19:04:45 info:  6550: Signed GiveAway Transaction Coins: 10
2019-02-26 19:04:45 info:  6550: Starting mining block...
2019-02-26 19:04:45 info:  6550: Transaction Id 6f77787b20d49ca28b3348805487ba26 signature 0x001F7623Ca46D305dD2bf52c0358f27090b39f33 validated
2019-02-26 19:04:45 info:  9550: Starting mining block...
2019-02-26 19:04:45 info:  9550: Transaction Id 6f77787b20d49ca28b3348805487ba26 signature 0x001F7623Ca46D305dD2bf52c0358f27090b39f33 validated
2019-02-26 19:04:45 info:  7550: Starting mining block...
2019-02-26 19:04:45 info:  7550: Transaction Id 6f77787b20d49ca28b3348805487ba26 signature 0x001F7623Ca46D305dD2bf52c0358f27090b39f33 validated
2019-02-26 19:04:46 info:  9550: Puzzle solved with Proof1197043476.299231 and 00003b108611a3511f2ece119b16540bce063895c005df3883cadbd0bc268848
2019-02-26 19:04:46 info:  9550: Mined Successfully
2019-02-26 19:04:46 info:  7550: End mining encountered
2019-02-26 19:04:46 info:  9550: End mining encountered
2019-02-26 19:04:46 info:  6550: End mining encountered
2019-02-26 19:04:46 info:  6550: New Block added[object Object]
2019-02-26 19:04:46 info:  6550: Puzzle solved with Proof4291281666.878355 and undefined
2019-02-26 19:04:46 info:  9550: New Block added[object Object]
2019-02-26 19:04:46 info:  7550: New Block added[object Object]
2019-02-26 19:04:46 info:  7550: Puzzle solved with Proof890785423.1083654 and undefined
2019-02-26 19:05:29 info:  7550: user disconnected, ID 4y7-mzV2hXaJVSDnAAAC
2019-02-26 19:05:29 info:  9550: user disconnected, ID fmDqK1TKGVeXVY9VAAAC
